X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
2.61008483,46.21420393,,POIN_REP0000002480593625,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"5",4948,5,U,PR valide,PR,"03 RD0151 PR5","03-D151-U-4","03",ROUTNOMM0000000106099132,Allier
2.56107704,46.25882137,,POIN_REP0000002480593626,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"13",12987,13,U,PR valide,PR,"03 RD0151 PR13","03-D151-U-4","03",ROUTNOMM0000000106099132,Allier
2.53827498,46.2678919,,POIN_REP0000002480593638,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"17",16811,17,U,PR valide,PR,"03 RD0151 PR17","03-D151-U-4","03",ROUTNOMM0000000106099132,Allier
2.49936166,46.35410262,,POIN_REP0000002480593641,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"30",29872,30,U,PR valide,PR,"03 RD0151 PR30","03-D151-U-2","03",ROUTNOMM0000000106099132,Allier
2.50620981,46.28199237,,POIN_REP0000002480593642,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"20",19801,20,U,PR valide,PR,"03 RD0151 PR20","03-D151-U-3","03",ROUTNOMM0000000106099132,Allier
2.50734322,46.29748307,,POIN_REP0000002480593643,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"22",21745,22,U,PR valide,PR,"03 RD0151 PR22","03-D151-U-2","03",ROUTNOMM0000000106099132,Allier
2.50533235,46.31154544,,POIN_REP0000002480593644,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"24",23741,24,U,PR valide,PR,"03 RD0151 PR24","03-D151-U-2","03",ROUTNOMM0000000106099132,Allier
2.55146968,46.26030036,,POIN_REP0000002480593645,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D151,"15",14818,15,U,PR valide,PR,"03 RD0151 PR15","03-D151-U-4","03",ROUTNOMM0000000106099132,Allier
2.81317274,46.31322149,,POIN_REP0000002480593681,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D156,"3",3001,3,U,PR valide,PR,"03 RD0156 PR3","03-D156-U-4","03",ROUTNOMM0000000106099090,Allier
2.79845364,46.33603786,,POIN_REP0000002480593701,2024/11/27 16:11:30.426+00,2025/12/04 10:00:30.808+00,,2025/10/22,CD03 2025,,D156,"0",0,0,U,PR0 valide,PR0,"03 RD0156 PR0","03-D156-U-4","03",ROUTNOMM0000000106099090,Allier
